Committee,# of Contributions,Money Raised,Unique Donors
Totals,472,10901.580000000002,168
BENNET FOR AMERICA,0,0,0
BIDEN FOR PRESIDENT,25,931.0,19.0
"MIKE BLOOMBERG 2020, INC",0,0,0
CORY 2020,2,2.0,2.0
"PETE FOR AMERICA, INC",25,504.0,18.0
FRIENDS OF JOHN DELANEY,0,0,0
TULSI NOW,22,311.0,5.0
AMY FOR AMERICA,2,75.0,2.0
DEVAL FOR ALL,0,0,0
BERNIE 2020,305,7229.5199999999995,73.0
TOM STEYER 2020,0,0,0
"WARREN FOR PRESIDENT, INC",87,1822.06,45.0
MARIANNE WILLIAMSON FOR PRESIDENT,0,0,0
FRIENDS OF ANDREW YANG,4,27.0,4.0
