Committee,# of Contributions,Money Raised,Unique Donors
Totals,1032,27659.53000000001,369
BENNET FOR AMERICA,2,15.0,2.0
BIDEN FOR PRESIDENT,59,1738.0,20.0
"MIKE BLOOMBERG 2020, INC",0,0,0
CORY 2020,10,322.0,9.0
"PETE FOR AMERICA, INC",137,3687.1,61.0
FRIENDS OF JOHN DELANEY,0,0,0
TULSI NOW,12,130.0,10.0
AMY FOR AMERICA,22,461.0,3.0
DEVAL FOR ALL,0,0,0
BERNIE 2020,502,12368.290000000003,158.0
TOM STEYER 2020,0,0,0
"WARREN FOR PRESIDENT, INC",261,8303.14,85.0
MARIANNE WILLIAMSON FOR PRESIDENT,11,267.0,6.0
FRIENDS OF ANDREW YANG,16,368.0,15.0
