Committee,# of Contributions,Money Raised,Unique Donors
Totals,480,10646.900000000001,138
BENNET FOR AMERICA,1,3.0,1.0
BIDEN FOR PRESIDENT,15,592.0,7.0
"MIKE BLOOMBERG 2020, INC",0,0,0
CORY 2020,4,40.0,4.0
"PETE FOR AMERICA, INC",9,113.0,7.0
FRIENDS OF JOHN DELANEY,0,0,0
TULSI NOW,7,60.0,3.0
AMY FOR AMERICA,1,50.0,1.0
DEVAL FOR ALL,0,0,0
BERNIE 2020,352,7169.899999999999,76.0
TOM STEYER 2020,0,0,0
"WARREN FOR PRESIDENT, INC",84,2464.0,33.0
MARIANNE WILLIAMSON FOR PRESIDENT,5,130.0,4.0
FRIENDS OF ANDREW YANG,2,25.0,2.0
