Committee,# of Contributions,Money Raised,Unique Donors
Totals,129,4225.879999999999,50
BENNET FOR AMERICA,0,0,0
BIDEN FOR PRESIDENT,2,15.0,2.0
"MIKE BLOOMBERG 2020, INC",0,0,0
CORY 2020,3,16.0,2.0
"PETE FOR AMERICA, INC",11,283.0,7.0
FRIENDS OF JOHN DELANEY,0,0,0
TULSI NOW,2,30.0,2.0
AMY FOR AMERICA,3,560.0,3.0
DEVAL FOR ALL,0,0,0
BERNIE 2020,72,2431.8,17.0
TOM STEYER 2020,0,0,0
"WARREN FOR PRESIDENT, INC",29,824.88,10.0
MARIANNE WILLIAMSON FOR PRESIDENT,1,1.0,1.0
FRIENDS OF ANDREW YANG,6,64.2,6.0
