Committee,# of Contributions,Money Raised,Unique Donors
Totals,424,10148.380000000003,134
BENNET FOR AMERICA,3,20.0,2.0
BIDEN FOR PRESIDENT,49,1556.0,24.0
"MIKE BLOOMBERG 2020, INC",0,0,0
CORY 2020,2,15.0,2.0
"PETE FOR AMERICA, INC",42,1785.69,24.0
FRIENDS OF JOHN DELANEY,0,0,0
TULSI NOW,14,125.98,6.0
AMY FOR AMERICA,5,56.0,3.0
DEVAL FOR ALL,0,0,0
BERNIE 2020,236,4217.709999999999,47.0
TOM STEYER 2020,0,0,0
"WARREN FOR PRESIDENT, INC",70,2282.0,23.0
MARIANNE WILLIAMSON FOR PRESIDENT,1,5.0,1.0
FRIENDS OF ANDREW YANG,2,85.0,2.0
