Committee,# of Contributions,Money Raised,Unique Donors
Totals,559,35316.2,238
BENNET FOR AMERICA,2,125.0,2.0
BIDEN FOR PRESIDENT,47,10088.0,30.0
"MIKE BLOOMBERG 2020, INC",0,0,0
CORY 2020,10,46.0,9.0
"PETE FOR AMERICA, INC",101,10444.11,51.0
FRIENDS OF JOHN DELANEY,0,0,0
TULSI NOW,12,148.0,7.0
AMY FOR AMERICA,11,2686.0,7.0
DEVAL FOR ALL,0,0,0
BERNIE 2020,168,3245.7999999999997,60.0
TOM STEYER 2020,0,0,0
"WARREN FOR PRESIDENT, INC",181,6285.5,53.0
MARIANNE WILLIAMSON FOR PRESIDENT,10,1617.79,7.0
FRIENDS OF ANDREW YANG,17,630.0,12.0
