Committee,# of Contributions,Money Raised,Unique Donors
Totals,1518,36153.16999999997,509
BENNET FOR AMERICA,2,6.0,2.0
BIDEN FOR PRESIDENT,32,577.5,20.0
"MIKE BLOOMBERG 2020, INC",0,0,0
CORY 2020,14,113.0,12.0
"PETE FOR AMERICA, INC",73,2689.0,37.0
FRIENDS OF JOHN DELANEY,1,50.0,1.0
TULSI NOW,45,1040.3400000000001,6.0
AMY FOR AMERICA,8,240.0,8.0
DEVAL FOR ALL,0,0,0
BERNIE 2020,1014,21340.510000000013,270.0
TOM STEYER 2020,0,0,0
"WARREN FOR PRESIDENT, INC",301,9153.769999999999,134.0
MARIANNE WILLIAMSON FOR PRESIDENT,15,371.0,9.0
FRIENDS OF ANDREW YANG,13,572.0500000000001,10.0
