Committee,# of Contributions,Money Raised,Unique Donors
Totals,245,6484.749999999998,92
BENNET FOR AMERICA,0,0,0
BIDEN FOR PRESIDENT,21,789.0,11.0
"MIKE BLOOMBERG 2020, INC",0,0,0
CORY 2020,2,10.0,2.0
"PETE FOR AMERICA, INC",21,689.0,12.0
FRIENDS OF JOHN DELANEY,0,0,0
TULSI NOW,3,148.0,2.0
AMY FOR AMERICA,0,0,0
DEVAL FOR ALL,0,0,0
BERNIE 2020,158,3961.7499999999986,45.0
TOM STEYER 2020,0,0,0
"WARREN FOR PRESIDENT, INC",37,772.0,18.0
MARIANNE WILLIAMSON FOR PRESIDENT,1,25.0,1.0
FRIENDS OF ANDREW YANG,2,90.0,1.0
