Committee,# of Contributions,Money Raised,Unique Donors
Totals,326,9123.13,120
BENNET FOR AMERICA,1,100.0,1.0
BIDEN FOR PRESIDENT,49,1899.0,26.0
"MIKE BLOOMBERG 2020, INC",0,0,0
CORY 2020,10,192.0,5.0
"PETE FOR AMERICA, INC",13,224.0,12.0
FRIENDS OF JOHN DELANEY,0,0,0
TULSI NOW,6,35.0,1.0
AMY FOR AMERICA,4,155.0,4.0
DEVAL FOR ALL,0,0,0
BERNIE 2020,189,4775.799999999999,52.0
TOM STEYER 2020,0,0,0
"WARREN FOR PRESIDENT, INC",52,1702.33,17.0
MARIANNE WILLIAMSON FOR PRESIDENT,0,0,0
FRIENDS OF ANDREW YANG,2,40.0,2.0
