Committee,# of Contributions,Money Raised,Unique Donors
Totals,404,9248.670000000002,110
BENNET FOR AMERICA,1,25.0,1.0
BIDEN FOR PRESIDENT,3,35.0,3.0
"MIKE BLOOMBERG 2020, INC",0,0,0
CORY 2020,30,625.07,3.0
"PETE FOR AMERICA, INC",9,250.0,4.0
FRIENDS OF JOHN DELANEY,0,0,0
TULSI NOW,5,44.0,4.0
AMY FOR AMERICA,3,75.0,1.0
DEVAL FOR ALL,0,0,0
BERNIE 2020,324,7427.5999999999985,81.0
TOM STEYER 2020,0,0,0
"WARREN FOR PRESIDENT, INC",27,761.0,11.0
MARIANNE WILLIAMSON FOR PRESIDENT,2,6.0,2.0
FRIENDS OF ANDREW YANG,0,0,0
